262 	Martin Lawrence 	$1,875,644,875 	16 	$117,227,805
263 	Drew Barrymore 	$1,874,761,768 	31 	$60,476,186
264 	Sarah Vowell 	$1,874,246,451 	2 	$937,123,226
265 	Albert Brooks 	$1,873,758,230 	6 	$312,293,038
266 	Will Arnett 	$1,872,916,083 	12 	$156,076,340
267 	T.J. Miller 	$1,868,545,301 	7 	$266,935,043
268 	Alison Sudol 	$1,864,739,869 	3 	$621,579,956
269 	Bill Nighy 	$1,860,931,781 	18 	$103,385,099
270 	Megan Fox 	$1,856,877,343 	17 	$109,228,079
271 	Hayden Christensen 	$1,852,818,800 	13 	$142,524,523
272 	James Earl Jones 	$1,834,143,924 	4 	$458,535,981
273 	Seann William Scott 	$1,834,038,603 	18 	$101,891,034
274 	Steve Buscemi 	$1,832,807,372 	19 	$96,463,546
275 	Jessica Alba 	$1,827,017,922 	18 	$101,500,996
276 	Ed Helms 	$1,817,749,950 	18 	$100,986,108
277 	Kate Beckinsale 	$1,813,295,249 	24 	$75,553,969
278 	Andy Garcia 	$1,809,669,560 	25 	$72,386,782
279 	Maggie Smith 	$1,809,571,223 	19 	$95,240,591
280 	James Spader 	$1,804,166,085 	11 	$164,015,099
281 	Jeff Goldblum 	$1,786,094,571 	16 	$111,630,911
282 	Vince Vaughn 	$1,783,502,461 	25 	$71,340,098
283 	Milla Jovovich 	$1,772,889,646 	20 	$88,644,482
284 	Halle Berry 	$1,772,039,852 	19 	$93,265,255
285 	Joaquin Phoenix 	$1,771,834,499 	18 	$98,435,250
286 	Selena Gomez 	$1,771,680,788 	12 	$147,640,066
287 	Joseph Gordon-Levitt 	$1,771,352,231 	21 	$84,350,106
288 	Sean Connery 	$1,765,669,920 	15 	$117,711,328
289 	John Oliver 	$1,762,836,963 	2 	$881,418,482
290 	Rebecca Ferguson 	$1,756,474,781 	8 	$219,559,348
291 	Jodie Foster 	$1,755,603,410 	24 	$73,150,142
292 	Christoph Waltz 	$1,742,676,267 	11 	$158,425,115
293 	Glenn Close 	$1,734,084,342 	25 	$69,363,374
294 	Andrew Garfield 	$1,733,807,788 	12 	$144,483,982
295 	Cedric the Entertainer 	$1,727,104,166 	14 	$123,364,583
296 	Katherine Waterston 	$1,726,929,057 	10 	$172,692,906
297 	Glen Powell 	$1,723,330,657 	8 	$215,416,332
298 	Alfre Woodard 	$1,719,766,070 	9 	$191,085,119
299 	Tom McGrath 	$1,713,544,576 	3 	$571,181,525
300 	James Franco 	$1,712,527,765 	43 	$39,826,227
301 	Lea Seydoux 	$1,709,822,413 	17 	$100,577,789
302 	Ryan Gosling 	$1,698,574,655 	24 	$70,773,944
303 	Julianne Moore 	$1,692,074,821 	41 	$41,270,118
304 	Mindy Kaling 	$1,669,640,829 	4 	$417,410,207
305 	Elizabeth Debicki 	$1,664,920,296 	8 	$208,115,037
306 	Billy Eichner 	$1,662,556,708 	3 	$554,185,569
307 	Kelly Marie Tran 	$1,662,535,795 	3 	$554,178,598
308 	Jai Courtney 	$1,650,146,998 	8 	$206,268,375
309 	Dan Stevens 	$1,650,048,320 	16 	$103,128,020
310 	Guy Pearce 	$1,649,555,332 	30 	$54,985,178
311 	John Kani 	$1,647,733,638 	2 	$823,866,819
312 	JD McCrary 	$1,647,733,638 	1 	$1,647,733,638
313 	Shahadi Wright Joseph 	$1,647,733,638 	1 	$1,647,733,638
314 	Jay Ellis 	$1,643,786,887 	4 	$410,946,722
315 	Meg Ryan 	$1,642,626,135 	28 	$58,665,219
316 	Awkwafina 	$1,640,900,994 	13 	$126,223,153
317 	Djimon Hounsou 	$1,639,126,244 	12 	$136,593,854
318 	Viola Davis 	$1,607,846,077 	13 	$123,680,467
319 	Joe Pesci 	$1,602,096,258 	8 	$200,262,032
320 	Susan Sarandon 	$1,595,344,194 	51 	$31,281,259
321 	Dakota Johnson 	$1,594,091,886 	18 	$88,560,660
322 	Sigourney Weaver 	$1,588,787,993 	38 	$41,810,210
323 	Dylan O’Brien 	$1,586,003,667 	11 	$144,182,152
324 	Tom Wilkinson 	$1,568,120,939 	13 	$120,624,688
325 	Georgie Henley 	$1,556,074,680 	5 	$311,214,936
326 	Skandar Keynes 	$1,556,067,810 	3 	$518,689,270
327 	Lewis James Pullman 	$1,550,899,169 	3 	$516,966,390
328 	Jason Sudeikis 	$1,531,407,049 	19 	$80,600,371
329 	Gemma Chan 	$1,531,307,853 	2 	$765,653,927
